season,system,n,rmse,rmse_weighted,mae,bias
2023,proof,1634,0.04658244926053333,0.04000276170468609,0.03622342585837573,0.004093410175833305
2023,prior,1634,0.047347950113499265,0.04088207562400402,0.036976702245651,0.0035331524877320474
2023,eb_league,1634,0.04901170629860335,0.04381524400992503,0.03815364333704629,0.0003089530473379365
2023,naive,1634,0.0592800949773965,0.05589009938460558,0.04636852460158854,0.005629000476130874
2024,proof,1656,0.0496006004771734,0.04216777464582674,0.0387781425366702,0.009333630151863958
2024,prior,1656,0.0501706499173198,0.04228081796783186,0.03911596401441752,0.01092757202489336
2024,eb_league,1656,0.05179698734367904,0.04564717285655061,0.0405812924908713,0.006150422837265185
2024,naive,1656,0.06229888064306611,0.05962980790751672,0.049565429192198716,0.00036575251135628734
2025,proof,1602,0.045827948381686245,0.039245562672484434,0.03548483058498183,0.006424605809311674
2025,prior,1602,0.0467526697662363,0.04002649938951313,0.03615066477858926,0.005847738752495377
2025,eb_league,1602,0.0478017681344313,0.041603607600044785,0.037067472681763705,0.003887661066356847
2025,naive,1602,0.05923392986619118,0.05596668530649296,0.04653619432806164,0.003407818376734016
ALL,proof,4892,0.047385231950540285,0.04049640477997374,0.036846357418326384,0.00663069138702282
ALL,prior,4892,0.0481317489918226,0.041079357771657714,0.037430362398317485,0.0067942166638747265
ALL,eb_league,4892,0.04958664347490417,0.043733842553256026,0.038619739332338913,0.0034582916038767386
ALL,naive,4892,0.060304053753937034,0.057189994199970694,0.04750562208806857,0.0031199505266418137
