season,system,n,rmse,rmse_weighted,mae,bias
2023,eb_league,1149,1.6865428338344002,1.4110102038791672,1.2574494606646267,-0.12517156118808934
2023,proof,1149,1.7848831019283333,1.5021463457206359,1.3410939186168382,-0.20471276090522306
2023,prior,1149,1.8201455235905522,1.531719951716494,1.3706617341548022,-0.19288284679591636
2023,naive,1149,2.226970797790889,2.006035379748847,1.6909471942012817,-0.26100998732711994
2024,eb_league,1143,1.5955984655298188,1.3414104825135846,1.1981675194247396,-0.007253724150787112
2024,proof,1143,1.6284038339407834,1.3737833998948474,1.2267938540486747,-0.05480055383613834
2024,prior,1143,1.6688910586892935,1.3976349319712393,1.2566985677969635,-0.017178678605676834
2024,naive,1143,2.0630605704503675,1.965869339349647,1.5539007927488717,-0.2219657774617886
2025,eb_league,1108,1.6115516140996238,1.3790115813624257,1.213396921744513,-0.11900010484665137
2025,proof,1108,1.6387719963422331,1.4121142039623547,1.2268565172369394,-0.19629217698635637
2025,prior,1108,1.692492108809329,1.4673183356367543,1.2821396002530054,-0.19379891025934062
2025,naive,1108,1.899962053278404,1.7424882974191656,1.444633273300257,-0.36595884211262847
ALL,eb_league,3400,1.6320173963585392,1.3775768763921392,1.223164321852663,-0.08351919019986881
ALL,proof,3400,1.6861896353704449,1.4308368802703582,1.2654409731667384,-0.15157168453402659
ALL,prior,3400,1.7289860658423988,1.466871812312737,1.303502197828273,-0.13411376858298407
ALL,naive,3400,2.069592729802715,1.9100630014441538,1.5646060585487995,-0.28208522239366984
